Taipei-city,大安區,仁愛路三段２８號,國泰華府大廈,45,93,111.2,36
Taipei-city,大安區,瑞安街１４２巷６號,大安AIT,13,49,111.1,43
Taipei-city,大安區,光復南路２６０巷７號,元大玖藏,19,10,110.9,62
Taipei-city,中山區,明水路５２６巷５０號,達麗花園,16,32,110.8,None
Taipei-city,大安區,金山南路二段２０３巷３號,麗水花園,14,57,110.4,60
Taipei-city,大安區,師大路１０５巷１６號,師大SOFA,13,66,110.4,None
Taipei-city,大安區,光復南路２４０巷４８號,雅宴 La Vie,15,50,110.3,24
Taipei-city,中正區,信義路一段//紹興南街,石園新城,24,145,109.4,34
Taipei-city,大安區,忠孝東路四段５１號,太平洋忠孝大廈,51,14,109.3,None
Taipei-city,大安區,瑞安街８１巷１６號,瑞安惟瓦地,11,29,109.1,None
Taipei-city,大安區,市民大道三段//建國南路一段,明日博,4、5,218,109.1,None
Taipei-city,中正區,仁愛路二段８巷６號,閱狷聲,3,29,109.1,None
Taipei-city,中正區,羅斯福路一段６７號,璞趣,11,148,109,None
Taipei-city,大安區,信義路四段２４８號,信義台興,43,49,108.8,35
Taipei-city,中正區,信義路二段１６１巷８號,信義路VISTA,12,80,108.7,None
Taipei-city,信義區,逸仙路４２巷１號,逸仙傳奇,24,22,108.7,None
Taipei-city,大安區,安和路一段//安和路,卡納琳大廈,36,62,108.5,40
Taipei-city,中山區,明水路５２６巷１號,明水御,13,42,108.3,66
Taipei-city,中山區,敬業三路１７７巷１號,地天泰,11,27,108.2,117
Taipei-city,大安區,和平東路一段１１９巷１８號,師大居藝,17,10,108.1,45
Taipei-city,士林區,中山北路七段８１巷２８弄６號,天母紘琚,9,38,107.7,225
Taipei-city,中正區,羅斯福路三段//辛亥路一段,台大OPUS ONE,4,149,107.6,None
Taipei-city,信義區,松高路８６號,維也納,23,156,107.4,None
Taipei-city,中正區,杭州南路一段１３１巷７號,茵譜,12,22,107.3,None
Taipei-city,大安區,金山南路二段２５號,愛瑪仕,13,29,107,67
