NewTaipei-city,板橋區,新站路１號,謙岳,7,45,70,154
NewTaipei-city,永和區,仁愛路８５號,仁愛101,7,114,67.7,None
NewTaipei-city,永和區,竹林路６８號,吉美一品,4,213,67.7,None
NewTaipei-city,板橋區,文化路二段//雙十路三段,文化奇蹟,24,201,67.6,17
NewTaipei-city,中和區,中安街８０號,世紀公園,21,83,67.3,35
NewTaipei-city,新店區,北新路一段１０８號,W太子,1,68,67.2,None
NewTaipei-city,板橋區,漢生東路２３０號,畫世紀,11,314,66.8,51
NewTaipei-city,板橋區,文化路一段３６０號,新巨蛋,10,1589,66.8,38
NewTaipei-city,永和區,文化路９巷１６弄２號,星巴克,14,48,66.1,23
NewTaipei-city,永和區,永和路二段１６６號,樺福千金,9,302,65.9,38
NewTaipei-city,板橋區,莊敬路６號,三輝都匯二部曲,5,108,65.9,None
NewTaipei-city,板橋區,縣民大道二段７４號,東方富域,10,141,65,101
NewTaipei-city,中和區,中安街９６號,四季公園（新）,23,99,64.4,31
NewTaipei-city,新店區,北新路一段１３６號,琢青,2,151,64.3,None
NewTaipei-city,板橋區,中山路一段１６６號,世界花園橋峰,10,447,64,96
NewTaipei-city,板橋區,漢生東路２６８號,國家世紀館,13,416,63.9,70
NewTaipei-city,新店區,北新路一段１００號,鑫洋百景,4,71,63.8,None
NewTaipei-city,板橋區,文化路二段３８５號,第一天廈,10,205,63,29
NewTaipei-city,新店區,寶橋路８５巷５０號,寶徠花園,7,246,62.9,None
NewTaipei-city,板橋區,文化路二段１８２巷３弄４６號,三輝都匯,6,61,62.8,None
NewTaipei-city,板橋區,文化路二段２９６號,悠遊市,13,187,62.5,18
NewTaipei-city,永和區,中和路５３５號,永安時代,11,170,62.5,24
NewTaipei-city,新店區,寶橋路７８巷２號,裕文花園,15,55,62.4,52
NewTaipei-city,板橋區,文化路一段２６６號,田明大樓,26,131,62.3,None
NewTaipei-city,板橋區,民生路三段//光武街,昇陽文化廳,20,465,62.1,34
NewTaipei-city,永和區,復興街１０２號,台北U2,6,39,61.8,None
NewTaipei-city,板橋區,縣民大道一段２９５號,馥華雲鼎,5,73,61.8,179
NewTaipei-city,永和區,安樂路１４４巷６號,寶帝,13,87,61.7,49
NewTaipei-city,新店區,北新路二段１２２號,悠遊市西華館,14,693,61.6,27
NewTaipei-city,中和區,中和路３８８號,美麗永安,13、14,366,61.3,20
NewTaipei-city,板橋區,中山路一段１６０之５號,皇翔高更,11,204,61,16
NewTaipei-city,板橋區,大同街１６號,福匯常住,4,62,61,None
NewTaipei-city,板橋區,文化路二段２８５號,昇陽立都,23,323,60.9,48
NewTaipei-city,新店區,建國路２１６號,三輝墨寶－大墨寶,12,81,60.8,None
NewTaipei-city,板橋區,文化路一段１８８巷３１號,三輝歌劇苑,4,230,60.8,None
NewTaipei-city,板橋區,松柏街５０巷４１號,仰德珍寶,9,158,60.3,None
NewTaipei-city,板橋區,文化路一段１３號,百宸園,29,146,60,48
NewTaipei-city,板橋區,文聖街//大同街,文聖大街,19、20,253,59.9,33
NewTaipei-city,新店區,中正路６７號,吉美君品,5,108,59.4,None
NewTaipei-city,板橋區,北門街１３號,昇陽文薈,2,129,59.4,None
NewTaipei-city,新店區,北新路一段７３號,碧波白,1,376,59.3,None
NewTaipei-city,板橋區,文化路二段１７５號,國家文化館,9,119,59.2,None
NewTaipei-city,新店區,寶強路８號,合環御寶,6,214,59.2,None
NewTaipei-city,板橋區,縣民大道二段５６號,雙子星花園廣場,11,144,59.1,87
NewTaipei-city,永和區,安樂路//得和路,君國公園,21,69,59,33
NewTaipei-city,板橋區,雙十路三段２７號,文化天下,23,167,58.9,None
NewTaipei-city,新店區,青山路//頂城三街//頂城二街//頂城六街//頂城五街//頂城一街,青山鎮,9、11、14、21,834,58.9,None
NewTaipei-city,中和區,宜安路//中安街,中和美樹館,23、24,343,58.9,None
NewTaipei-city,板橋區,新府路１號,史丹佛,13,212,58.8,53
NewTaipei-city,新店區,寶強路２３號,合環御品,13,149,58.6,55
NewTaipei-city,新店區,寶強路９號,合環御璽,12,82,58.5,42
NewTaipei-city,新店區,新店路//北宜路一段,碧潭有約,11,799,58.5,35
NewTaipei-city,新店區,北新路一段２之１６號,碧潭捷市,8,63,58.5,None
NewTaipei-city,新店區,北新路一段１２８號,北新官邸,2,72,58.5,None
NewTaipei-city,板橋區,莊敬路３４號,昇陽天廈,22,508,58.4,26
NewTaipei-city,新店區,寶橋路２７號,悠遊市晶華館,12,317,58.2,63
NewTaipei-city,板橋區,陽明街４６號,捷運陽明,13,56,58.2,22
NewTaipei-city,中和區,中和路４４６號,捷運首府,23,144,58.1,22
NewTaipei-city,永和區,中和路５３１號,永安讚,21,97,58.1,27
