城市,地址,社區,房價(萬)/坪,平均坪數
Taipei-city,青田街１１巷６號,青田舍,None,80
Taipei-city,新生南路二段１０號,幕府十六,None,135
Taipei-city,潮州街１０３號,麗水庭園,None,None
Taipei-city,青田街５巷８號,青田名廬,None,55
Taipei-city,青田街７巷５號,萬達青茂大廈,None,None
Taipei-city,青田街６之２號,青田儷園,None,None
Taipei-city,農安街２２９號,聖林園,None,40
Taipei-city,雨聲街１６５巷７４號,芝山園,None,None
Taipei-city,忠誠路一段３０號,芳鄰庭園,None,None
Taipei-city,樟新街７號,梵谷,None,40
Taipei-city,木新路三段９５巷６號,風雅頌,None,55
Taipei-city,中山北路七段２２１號,逸品山莊,None,None
Taipei-city,恆光街５１巷１１號,萊茵四季,None,51
Taipei-city,磺溪街３９號,大華上林園,None,37
Taipei-city,中山北路七段８２巷２９號,吉祥大廈,None,None
Taipei-city,中山北路六段４０５巷５７號,中山馥園,None,None
Taipei-city,忠誠路一段１３５號,精忠新城,None,None
Taipei-city,天玉街１０３巷１號,天母大庭園,None,None
Taipei-city,吉利街１０６巷１號,大家風範,None,40
Taipei-city,懷德街//榮華三路,天母福村第三期,None,35
Taipei-city,石牌路一段３９巷１５０號,金龍世家,None,None
Taipei-city,萬慶街２７號,台大御花園II,None,65
Taipei-city,石牌路二段３２５巷２號,金軒園,None,None
Taipei-city,羅斯福路五段１７６巷７號,台大庭閣,None,63
Taipei-city,三福街６號,羅斯福豪門,None,25
Taipei-city,三福街１號,台大新境,None,52
Taipei-city,北寧路６６號,祥園,None,None
Taipei-city,羅斯福路六段１５９巷９號,台大羅浮,None,None
Taipei-city,萬慶街２３巷１７號,逸境,None,None
Taipei-city,羅斯福路六段１３０號,景仁翠園,None,25
Taipei-city,育英街３３號,育英芳庭,None,None
Taipei-city,一壽街１７巷９號,翠堤清境,None,30
Taipei-city,木柵路三段９２號,拔川,None,30
Taipei-city,新光路一段６號,政大正園,None,32
Taipei-city,龍江路３３３號,中國甫園,None,63
Taipei-city,龍江路//民權東路三段,御庭大廈,None,41
Taipei-city,復興北路３４０號,中泰國際大樓,None,40
Taipei-city,復興北路２３３號,西華經典,None,62
Taipei-city,中山北路五段６８９號,中山華廈,None,60
Taipei-city,文湖街２１巷８４號,文湖采邑,None,33
Taipei-city,龍江路６７號,伯爵雙星-天王大廈,None,57
Taipei-city,基湖路１５７巷１３號,帝景水花園一期,None,120
Taipei-city,基湖路１６６巷６號,德基花園,None,None
Taipei-city,明水路５００號,冠德萊特莊園,None,67
Taipei-city,堤頂大道二段２８２號,大直臻品,None,None
Taipei-city,堤頂大道二段２４６巷１２號,青水硯,None,102
Taipei-city,明水路４０５號,大直萊茵,None,54
Taipei-city,大直街９４巷１弄１１號,儒林園,None,49
Taipei-city,明水路３９７巷１０號,皇鼎,None,27
Taipei-city,北安路５７８巷８弄１２號,香茵,None,None
Taipei-city,北安路６０８巷１６號,日安精品,None,None
Taipei-city,北安路６０８巷４弄６之１號,大直小璽,None,None
Taipei-city,明水路４１１號,松濤,None,50
Taipei-city,樂群二路２８０號,直木賞,None,None
Taipei-city,大業路６３１號,懷石,None,None
Taipei-city,中央北路一段６８號,薇閣世家,None,None
Taipei-city,中央北路一段４４號,薇閣經典,None,None
Taipei-city,中央北路一段７２號,大杰薇閣,None,None
Taipei-city,大業路//北投路二段,捷和商務家,None,20
Taipei-city,光明路２１７號,捷運可樂,None,None
Taipei-city,長壽路１６號,薇瓦第,None,None
Taipei-city,民權東路六段２９６巷４０號,文心愛湖緣,None,29
Taipei-city,民權東路六段２８２號,力霸湖濱,None,48
Taipei-city,文德路２０８巷４０號,波綠露,None,None
Taipei-city,雨農路２１巷２１號,福林經典,None,None
Taipei-city,木新路三段９５巷４８號,景學苑,None,58
Taipei-city,內湖路三段２２６號,昇陽翡翠,None,35
Taipei-city,承德路七段２９０號,陽明富邑,None,None
Taipei-city,德行西路９３巷７號,新元第,None,64
Taipei-city,東湖路４３巷１６號,湖國城堡,None,None
Taipei-city,濟南路二段３號,?和園大樓,None,52
Taipei-city,安和路一段２１巷５號,敦南一品,None,None
Taipei-city,東豐街２４號,遐福園,None,55
Taipei-city,大安路一段１７６巷１８號,怡園,None,None
Taipei-city,大安路一段１７６巷２９號,仁愛璞園,None,52
Taipei-city,大安路一段１７６巷１５號,仁愛蓉園,None,None
Taipei-city,大安路一段１７６巷１２號,雪舍,None,None
Taipei-city,吳興街６００巷４０號,哥德堡,None,105
Taipei-city,忠誠路一段１０２號,香檳華廈,None,45
Taipei-city,中華路二段//和平西路二段,融融園,None,30
Taipei-city,公館路２５７巷５弄８號,陽明麗景,None,None
Taipei-city,慶城街２３號,慶城橡園大廈,None,35
Taipei-city,華齡街１８０號,華齡春曉,None,35
Taipei-city,秀明路一段１８５巷３５號,金石山莊,None,60
Taipei-city,民生東路五段//民生東路,民生福廈,None,51
Taipei-city,內湖路一段７３７巷５０弄９號,碧湖皇家名園,None,None
Taipei-city,光復北路１６７號,金石園,None,35
Taipei-city,中山北路二段１０３號,中山敦煌,None,52
Taipei-city,天玉街２９號,天玉街華清園,None,45
Taipei-city,中山北路七段１５９巷１０號,居安大廈,None,None
Taipei-city,天玉街４１號,天母星藝,None,55
Taipei-city,吉林路１２１號,談天樓,None,32
Taipei-city,吉林路//四平街,經濟部國宅,None,32
Taipei-city,松江路３１３巷２號,三石華廈,None,35
Taipei-city,龍江路３５８號,金龍榮星華廈AB棟,None,None
Taipei-city,吉林路４４１號,新生公園華廈,None,32
Taipei-city,重慶北路二段４８號,萬仲寶鑽,None,55
Taipei-city,瑞安街２０８巷４７弄１５號,生活的藝術家,None,None
Taipei-city,中山北路五段６８５號,永勝大樓,None,42
Taipei-city,瑞安街２０８巷６１弄１４號,小雅軒,None,55
Taipei-city,天玉街３９巷６號,橡園,None,None
Taipei-city,中山北路七段２３２巷２３之１號,翠園,None,None
Taipei-city,天玉街３５號,天母楠園,None,None
Taipei-city,天母東路６１巷６號,天母尊邸,None,80
Taipei-city,敦化南路一段//敦化南路//忠孝東路四段,吟龍名廈,None,62
Taipei-city,安和路二段//安和路,東昇大廈,None,44
Taipei-city,玉成街１９０巷１３號,鈺山林,None,50
Taipei-city,大南路４１５號,凱旋名門,None,36
Taipei-city,承德路四段１０巷１０號,紅色七層電梯,None,35
Taipei-city,環山路一段２４巷２號,西湖美人,None,32
Taipei-city,內湖路一段９１巷３５弄７７號,西湖京華,None,33
Taipei-city,一壽街６８號,景園,None,24
Taipei-city,杭州南路一段７１巷２４號,泰華大廈,None,None
Taipei-city,杭州南路一段７１巷２２號,福人大廈,None,None
Taipei-city,濟南路二段２２號,泰安雅緻園,None,None
Taipei-city,銅山街２０號,幸福華廈,None,None
Taipei-city,松勇路５５號,SD11-信義雅翠,None,60
Taipei-city,寧波西街//南昌路一段,中正寧波,None,40
Taipei-city,南京東路五段５９巷２９弄１號,冠德京品,None,45
Taipei-city,東明街//興南路,璞園,None,67
Taipei-city,振興街21號,護專華廈,None,None
Taipei-city,羅斯福路三段//新生南路三段,嘉吉萬福大廈,None,41
Taipei-city,辛亥路六段７６號,文山青境,None,41
Taipei-city,文德路２１２號,風中奇園,None,None
Taipei-city,文德路２２巷７４弄１４號,文德芳鄰,None,30
Taipei-city,恆光街５１巷２弄１號,高賞,None,45
Taipei-city,木新路二段４３巷６號,翠堤豪景,None,29
Taipei-city,政大二街,夏木漱石-花鄉區,None,38
Taipei-city,秀明路二段９６號,田園大廈,None,None
Taipei-city,新光路一段１６１號,大華生活家,None,None
Taipei-city,成功路四段２號,大湖天廈,None,None
Taipei-city,永吉路２８０號,柳中園,None,26
Taipei-city,敦化南路一段１７６號,光武大樓,None,42
Taipei-city,仁愛路四段３００巷２６弄１９號,仁愛華園,None,42
Taipei-city,忠孝東路五段２３６巷４５弄８號,領袖名邸-A座,None,60
Taipei-city,仁愛路四段//安和路一段//安和路,鑽石大廈,None,62
Taipei-city,忠順街二段１０號,凱悅DC,None,None
Taipei-city,恆光街３０巷１２號,恆光星鑽,None,41
Taipei-city,忠孝東路四段１７０巷２２號,安和苑,None,75
Taipei-city,立農街二段２０２巷６號,陽明天母,None,44
Taipei-city,明德路５號,第五文明,None,32
Taipei-city,敦化南路一段//仁愛路四段,富寧大樓,None,37
Taipei-city,敦化南路一段//四維路//敦化南路,霖園大樓,None,95
Taipei-city,忠誠路一段４８號,天母后冠,None,85
Taipei-city,大直街２０巷１５號,華盛頓,None,70
Taipei-city,民生東路三段//民生東路,雙橡園,None,40
Taipei-city,港華街２５號,麗山儷舍,None,40
Taipei-city,環山路二段７７巷２４號,合適碧,None,33
Taipei-city,研究院路二段２巷１４號,忠孝璞園,None,None
Taipei-city,信義路三段６５號,第凡內大樓,None,55
Taipei-city,仁愛路三段１２２號,仁愛禾康,None,None
Taipei-city,杭州南路一段６９號,杭州名廬,None,47
Taipei-city,和平東路二段９５號,超群大廈,None,None
Taipei-city,新光路一段６６巷６弄２號,紫藤樓,None,None
Taipei-city,中山北路六段２巷４０號,達欣天母,None,55
Taipei-city,天母東路７５號,新第來亨,None,47
Taipei-city,農安街//吉林路,白金漢,None,37
Taipei-city,長春路３４３號,福里花園大廈,None,67
Taipei-city,中央南路一段１８３號,御和風,None,27
Taipei-city,敦化南路一段//安和路一段,家園,None,55
Taipei-city,仁愛路三段//新生南路一段,仁愛國寶,None,None
Taipei-city,仁愛路二段１０２號,仁愛尊邸,None,67
Taipei-city,永康街４１巷４１號,隱秀,None,57
Taipei-city,仁愛路三段３１巷３號,保富仁愛大廈,None,None
Taipei-city,復興南路一段３４２號,登峰大廈,None,None
Taipei-city,木柵路四段//和平東路四段,稙村秀,None,41
Taipei-city,金山南路二段３０巷１１號,昇陽花園(舊昇陽大廈),None,32
Taipei-city,金山南路一段１０８號,東門福第,None,30
Taipei-city,承德路三段２４巷１８號,基泰鄰德,None,48
Taipei-city,長安西路２３５號,長安大宅,None,None
Taipei-city,內湖路一段６２９巷１０１弄１８號,歐峰,None,45
Taipei-city,南京東路四段５３巷３弄１０號,敦北璞園,None,None
Taipei-city,萬隆街８２號,小軍宅,None,41
Taipei-city,濟南路二段２１號,杭州御品,None,20
Taipei-city,承德路四段１８１號,圓山皇裔,None,67
Taipei-city,和平東路三段６８號,贊盛敦南,None,35
Taipei-city,文德路２２巷２７弄７號,東王尊爵,None,30
Taipei-city,政大一街３２０巷８８號,政大森活,None,61
Taipei-city,景福街//萬隆街,碧連天,None,None
Taipei-city,仁愛路三段９６號,御林園,None,45
Taipei-city,羅斯福路五段１７０巷２６號,陶明園,None,None
Taipei-city,中正街//光明路,新月台,None,None
Taipei-city,民權東路六段１９１巷６７號,至善別墅,None,50
Taipei-city,金湖路３２６巷５６號,櫻之巷閭,None,40
Taipei-city,政大一街３３號,翠綠園,None,None
Taipei-city,金湖路//民權東路六段,歐香別墅,None,None
Taipei-city,天母東路８巷３１弄１０號,凡爾賽名宮,None,30
Taipei-city,羅斯福路五段１５０巷７號,菩石,None,50
Taipei-city,南京西路１０９號,茂楷大樓,None,None
Taipei-city,忠孝東路四段１４２號,禮仁通商大樓,None,None
Taipei-city,基隆路一段１５９號,聯合世紀大樓,None,None
Taipei-city,忠孝東路四段３０３號,國際忠孝大樓,None,40
Taipei-city,明德路２９５號,十方榕園,None,70
Taipei-city,天母東路４３巷４弄１３號,富安醒園,None,55
Taipei-city,金華街１０４號,師大金華,None,None
Taipei-city,天母北路５５號,敦親園華廈,None,None
Taipei-city,重慶北路二段１０４號,凱撒國寶,None,35
Taipei-city,木新路二段６８號,潤泰尊邸,None,93
Taipei-city,仁愛路三段２４巷２６號,創世紀大廈,None,55
Taipei-city,金華街２４５號,香榭金華,None,70
Taipei-city,政大一街２１０巷３３號,柏克萊(一期),None,48
Taipei-city,天玉街５８號,奧之細道,None,81
Taipei-city,中山北路六段７５４巷１０號,天品,None,83
Taipei-city,忠誠路二段１６８號,一品名門,None,47
Taipei-city,信義路二段１８號,信義愛樂(舊愛樂廣場),None,11
Taipei-city,三合街二段//清江路,櫻花戀,None,None
Taipei-city,中央北路二段６８之１號,凡賽斯二期,None,None
Taipei-city,大安路一段１０１巷１０號,馨廬大樓,None,30
Taipei-city,景華街１２２號,地中海,None,40
Taipei-city,景華街１６１號,博美館,None,None
Taipei-city,士商路１５１號,宏盛帝璽,None,55
Taipei-city,中山北路五段６９８巷１６號,紫園,None,45
Taipei-city,文林路６４３巷２１號,文林風采,None,14
Taipei-city,雨農路１５號,雨農華廈,None,55
Taipei-city,承德路四段１８５號,圓山皇家,None,44
Taipei-city,吉利街３１３號,吉利國宅,None,None
Taipei-city,石牌路一段３９巷８０弄２８號,台北桂冠,None,None
Taipei-city,承德路七段３１０號,吉利一品,None,None
Taipei-city,吉利街１２３巷１２號,大吉大利,None,None
Taipei-city,立農街二段２０２巷９弄１０號,大杰陽明雅苑,None,None
Taipei-city,石牌路二段３１９號,哲學之道,None,85
Taipei-city,石牌路二段３４３巷７號,翠庭,None,None
Taipei-city,明德路１７巷３弄２號,夏儂梭,None,45
Taipei-city,明德路//致遠一路一段//致遠一路,青庭,None,50
Taipei-city,文林北路２４０號,天母生活,None,None
Taipei-city,致遠一路二段１１１巷１８號,天母京華,None,None
Taipei-city,富貴一路１巷２６號,大樹天母,None,None
Taipei-city,榮華三路１５號,禮居,None,None
Taipei-city,榮華一路１６號,天母御園,None,None
Taipei-city,承德路二段//承德路,承園,None,36
Taipei-city,延平北路二段８３號,帝國花廣,None,32
Taipei-city,承德路一段//承德路//長安西路,皇家儷宮,None,33
Taipei-city,樂群二路１１６巷６１弄１２號,帝景水花園六,None,119
Taipei-city,明水路５８１巷４６號,御松園,None,67
Taipei-city,基湖路１５７巷２號,景泰園,None,140
Taipei-city,明水路３９７巷２弄２號,大直珍珠,None,51
Taipei-city,景興路２３８巷７號,維美,None,None
Taipei-city,八德路三段７４巷７８號,敦化名門華廈,None,30
Taipei-city,興南街６４巷６弄１號,米蘭小品,None,None
Taipei-city,研究院路一段１０１巷２號,儒邑華廈,None,None
Taipei-city,羅斯福路三段６３號,愛禮明廈,None,None
Taipei-city,羅斯福路三段２９號,大興豐林大廈,None,None
Taipei-city,羅斯福路二段３９號,僑泰大廈,None,None
Taipei-city,師大路１７６號,中正帝景,None,None
Taipei-city,南昌路二段１９０號,南庭翡翠,None,35
Taipei-city,和平東路一段８７號,福將大廈,None,None
Taipei-city,關渡路３６號,台北御園,None,None
Taipei-city,重陽路１２５巷３６弄６號,中視之星,None,50
Taipei-city,南港路二段２１２巷３號,香榭綠舍,None,None
Taipei-city,研究院路二段６１巷２弄４１號,怡梅雅築,None,None
Taipei-city,興中路１２巷２３號,福樂家,None,39
Taipei-city,敦化南路二段１１０號,敦峰大廈,None,70
Taipei-city,開封街二段４０號,福星大第,None,47
Taipei-city,政大一街３８６號,雅敘苑,None,None
Taipei-city,舊莊街一段９１巷１２弄５號,公園與我,None,None
Taipei-city,和平東路二段１７７號,摩登大廈,None,40
Taipei-city,和平東路二段９９號,翰人,None,None
Taipei-city,辛亥路二段１９５號,香格里拉林園華廈,None,35
Taipei-city,辛亥路二段１１９號,台大校園大廈,None,None
Taipei-city,復興南路二段１６７號,公爵大廈,None,None
Taipei-city,天玉街３８巷１８弄１４號,新安名廈,None,None
Taipei-city,中山北路七段１５６號,勤和名廈,None,None
Taipei-city,中山北路七段６２號,星辰大廈,None,42
Taipei-city,中山北路七段１２４巷９號,翠谷花園大廈,None,None
Taipei-city,中山北路七段１２４巷７號,花園大廈,None,75
Taipei-city,中山北路七段１５４巷５號,宜慧大廈,None,40
Taipei-city,天母東路４５號,詠惠大廈,None,44
Taipei-city,天玉街３８巷１８弄１７號,天母物語,None,37
Taipei-city,中山北路七段１９０巷１３號,蒲園,None,None
Taipei-city,天母東路４９號,雅廬,None,65
Taipei-city,天母東路６３號,天母羅浮宮,None,50
Taipei-city,中山北路七段８１巷８號,麗雲山莊,None,None
Taipei-city,中山北路七段１９０巷１２弄５號,群昌大廈,None,35
Taipei-city,萬慶街２３巷１１號,惠眾大樓,None,None
Taipei-city,景興路１５３巷２５號,福隆美景,None,None
Taipei-city,景華街１４７巷２２號,宏運興隆二期,None,None
Taipei-city,臨沂街２７之１號,臨沂雙璽,None,65
Taipei-city,敦南街６３號,大敦藏,None,65
Taipei-city,清江路２５巷１６號,廣大公園,None,None
Taipei-city,崇仁路一段１６６巷２號,天母麗多,None,None
Taipei-city,翠宜路５１號,薇閣雅砌,None,None
Taipei-city,建國南路二段３２２巷９號,國泰台大華廈(322巷),None,None
Taipei-city,仙岩路１８號,台大雙星,None,39
Taipei-city,景豐街６２巷２號,靜馨苑,None,None
Taipei-city,景華街１４７巷１６號,宏運興隆一期,None,None
Taipei-city,羅斯福路五段２３６巷５號,統成歐成,None,29
Taipei-city,景興路１７７巷１６號,維也納綠堡,None,None
Taipei-city,羅斯福路一段７６號,中正大道,None,35
Taipei-city,松勤街１４２號,千禧林園,None,77
Taipei-city,松仁路１５３巷５號,現代之藝,None,121
Taipei-city,松勤街１５０號,澹寧居,None,93
Taipei-city,龍江路７１巷１７號,東坡居,None,57
Taipei-city,仁愛路三段５巷１之４號,中南海別墅,None,131
Taipei-city,新生南路二段８號,豪門大第,None,71
Taipei-city,珠海路６０巷８號,薇閣美地,None,None
Taipei-city,天母西路６７號,齊賢華廈,None,40
Taipei-city,同德街６號,松石雲台,None,None
Taipei-city,天玉街３９巷１０號,天母天玉,None,None
Taipei-city,天母西路５０巷２５號,家居神曲,None,105
Taipei-city,天母北路//天母西路,聽濤園,None,None
Taipei-city,天母北路４２之１號,黃石翠庭,None,None
Taipei-city,石牌路二段３５９號,天母雲集,None,None
Taipei-city,中山北路七段８２巷１０弄１０號,天母綠園,None,None
Taipei-city,天玉街３９巷２號,天玉街馥園,None,None
Taipei-city,青田街７之１號,青田官邸,None,65
Taipei-city,杭州南路一段１４３巷５號,中正御苑,None,43
Taipei-city,杭州南路一段１０５巷１４號,仁愛名廬,None,57
Taipei-city,中山北路三段３４號,中山凱旋,None,12
Taipei-city,雙城街７巷１２號,三豐錦城,None,65
Taipei-city,雙城街３２號,雙城國宴,None,12
Taipei-city,新生北路三段６２巷２３號,中央惜緣(公教惜緣),None,None
Taipei-city,中央北路三段１０２巷３號,馥邦,None,None
Taipei-city,成功路四段３４４號,大湖生活,None,150
Taipei-city,潮州街１０１號,潮州家園,None,None
Taipei-city,金山南路二段//潮州街,金潮大廈,None,45
Taipei-city,信義路二段２０８號,臺陽信義大樓,None,65
Taipei-city,信義路二段３號,松錦園,None,48
Taipei-city,八德路二段４３７巷２弄２號,音樂花園,None,None
Taipei-city,士東路４６巷１２號,香頌坊,None,43
Taipei-city,芝玉路二段６１巷２號,路易凡爾賽,None,27
Taipei-city,中山北路六段４４１巷４２之１號,天母國寶,None,40
Taipei-city,中山北路六段４５０巷７弄１號,中山雅緻園,None,None
Taipei-city,中山北路六段４０５巷３３號,家居之最,None,None
Taipei-city,木柵路三段８５巷１０號,德鄰,None,None
Taipei-city,樟新街１５巷５號,長堤二重奏,None,None
Taipei-city,木新路三段４５巷１０弄２號,青水艷-山水特區,None,None
Taipei-city,復興南路一段３４８號,伯爵大廈,None,28
Taipei-city,天母北路４巷１號,齊賢公寓,None,None
Taipei-city,中山北路六段２９０巷１１弄１號,天母大器,None,None
Taipei-city,忠誠路一段１０９號,天母鉅星,None,None
Taipei-city,忠誠路二段４１巷３０號,匯大名廬,None,None
Taipei-city,忠誠路一段１６巷２７號,雲英大樓,None,None
Taipei-city,信義路四段１９巷３號,靜安華廈,None,37
Taipei-city,信義路四段２３１號,桂冠大樓,None,42
Taipei-city,安和路二段//安和路,儷德大廈,None,None
Taipei-city,光復南路１３巷１６號,逸仙名園,None,27
Taipei-city,光復南路１３巷８號,中山庭園,None,35
Taipei-city,八德路四段//光復南路,大使儷園,None,37
Taipei-city,東豐街１３號,欣欣大廈,None,None
Taipei-city,八德路四段１８１巷１７弄２５號,松濤園,None,35
Taipei-city,光復南路１３巷１９號,逸仙新貴,None,30
Taipei-city,敦化南路二段//敦化南路,雙琴林園,None,55
Taipei-city,敦化南路二段//敦化南路,龍門第,None,None
Taipei-city,敦化南路二段//敦化南路,大富大樓,None,57
Taipei-city,東豐街１７號,清庭大樓,None,None
Taipei-city,農安街２５號,龍安翡翠,None,25
Taipei-city,八德路四段１１１號,蘭吉雅,None,40
Taipei-city,八德路四段２４５巷３６號,智慧名邸華廈,None,30
Taipei-city,翠宜路３號,翠宜華廈,None,None
Taipei-city,中央北路三段４０巷１９弄８號,夏綠第,None,None
Taipei-city,合江街２０巷２９號,東林居,None,None
Taipei-city,敦化南路一段//敦化南路,仰甫居,None,35
Taipei-city,大安路一段１２３號,嘉齡大樓,None,30
Taipei-city,長沙街二段１５１號,總督天廈,None,30
Taipei-city,中山北路六段２７７巷１８弄１３號,和楓天母,None,46
Taipei-city,行義路１２號,昇陽麗晶,None,None
Taipei-city,天母西路５０巷４３號,溪霞館,None,53
Taipei-city,牯嶺街６１號,元大欽品,None,70
Taipei-city,中正路５２３號,圓山之星,None,35
Taipei-city,大西路７１號,文林麗緻,None,55
Taipei-city,中山北路七段８１巷１２號,家居天玉,None,52
Taipei-city,東華街一段６號,全陽雅築,None,40
Taipei-city,忠孝東路三段２６５號,朕廈,None,None
Taipei-city,懷德街１０１號,天母山莊,None,75
Taipei-city,明德路２０１號,曼哈頓B,None,35
Taipei-city,杭州南路一段１１１巷２５號,日安仁愛,None,None
Taipei-city,和平東路三段３１１號,師大儒居,None,44
Taipei-city,福國路５０巷１號,文心儷園,None,40
Taipei-city,仁愛路四段３３號,群峰香榭大廈,None,None
Taipei-city,仁愛路四段３１號,弘爺華廈,None,None
Taipei-city,和興路１８號,文山書院,None,None
Taipei-city,克強路３２號,天母極品,None,51
Taipei-city,光復南路４４０號,中山庭樓,None,None
Taipei-city,光復南路４５９號,三富大樓,None,None
Taipei-city,木柵路三段１６９巷２０號,天賞II,None,39
Taipei-city,杭州南路一段１０３號,震大杭玉,None,57
Taipei-city,松平路９９巷１號,信義華廈,None,53
Taipei-city,龍江路４６巷１號,元大花園廣場,None,110
Taipei-city,萬隆街８９號,友座達人,None,42
Taipei-city,復興南路一段//大安路一段//敦化南路,南陽大廈,None,53
Taipei-city,杭州南路一段４３號,中正首藝,None,52
Taipei-city,敦化南路//大安路一段,碧廬,None,None
Taipei-city,大安路一段//敦化南路,歌林儷園,None,None
Taipei-city,復興南路一段１０７巷１４號,青雲大廈,None,None
Taipei-city,大安路一段５０號,隨園大廈,None,None
Taipei-city,大安路一段１２號,建成頂好大廈,None,None
Taipei-city,仁愛路四段２５號,鴻霖大廈,None,None
Taipei-city,忠孝東路四段４６號,住安大廈,None,31
Taipei-city,忠孝東路四段４９巷４弄１０號,水仙大廈,None,None
Taipei-city,復興南路一段２０１號,大東大廈,None,48
Taipei-city,松勤街６６號,清翫雅居,None,None
Taipei-city,康定路１５４號,麒麟京華,None,36
Taipei-city,羅斯福路三段２４４巷９弄２之５號,福和賞,None,31
Taipei-city,民族東路４８號,中山大觀,None,55
Taipei-city,基河路２４０巷８號,新光雅仕堡,None,45
Taipei-city,北安路５７８巷８弄２６號,麗緻一期,None,48
Taipei-city,明水路３９７巷７弄１８號,麗緻二期,None,52
Taipei-city,新生南路二段３０巷９號,擁康御品,None,63
Taipei-city,麗水街３２號,麗水松園,None,85
Taipei-city,建國北路二段１１６巷１７號,尊貴極品,None,37
Taipei-city,德惠街１５０號,德惠街周氏華廈(雙號),None,42
Taipei-city,忠孝東路二段１３４巷３０號,本因坊,None,80
Taipei-city,信義路五段１６號,信義鴻禧花園,None,80
Taipei-city,松勤街９２號,雲邸,None,60
Taipei-city,承德路一段//太原路,六和大樓,None,90
Taipei-city,民生西路６號,中山大樓,None,37
Taipei-city,忠順街一段１０巷８號,賞晴園,None,None
Taipei-city,興隆路四段１２２巷５號,文山翡翠,None,None
Taipei-city,杭州南路一段１０５巷２５號,仁愛御園,None,67
Taipei-city,興華路７３號,東方君悅,None,32
Taipei-city,重陽路４５號,東京花園,None,40
Taipei-city,萬慶街５１巷９號,杜樂利花園,None,None
Taipei-city,敦化南路二段//敦化南路//安和路二段//敦化南路一段,紅樓,None,48
Taipei-city,復興北路４６６號,當代復興-領袖區,None,33
Taipei-city,中山北路六段２９０巷７弄２１之２號,天母琴園二,None,52
Taipei-city,新生南路一段１６５巷４２號,森活典範,None,45
Taipei-city,新生南路一段１５５號,涵碧大樓,None,50
Taipei-city,新生南路一段１３５號,國泰逸軒,None,75
Taipei-city,信義路三段３１巷２６號,聖安大廈,None,50
Taipei-city,自強街２６號,金典建築,None,43
Taipei-city,忠誠路一段１６巷２０號,涵屋,None,50
Taipei-city,德行東路１８３號,璀璨蘭雅,None,35
Taipei-city,忠誠路一段１３８號,麗寶,None,45
Taipei-city,民權東路六段１８０巷６１弄２７號,松下青石,None,50
Taipei-city,民生西路２４７號,殿廈,None,35
Taipei-city,忠誠路一段１７３巷３０號,美學地圖,None,50
Taipei-city,士東路４６巷１９號,天母御賞,None,91
Taipei-city,信義路三段//新生南路一段,純青名盧,None,35
Taipei-city,新生南路一段１６１巷８號,陋園大廈,None,55
Taipei-city,建國南路一段３２８號,冠德星夏,None,None
Taipei-city,建國南路一段３３６號,豐田大樓,None,67
Taipei-city,永吉路１９９號,白雲雙璽,None,50
Taipei-city,新生南路一段１６５巷２０號,信義峰閣(北市新生南路一段),None,59
Taipei-city,新生南路一段１６１巷４１號,有名堂 ~ 安藤居,None,None
Taipei-city,仁愛路三段３６號,仁愛SOLO,None,128
Taipei-city,新生南路一段１６１巷３２之３號,新南華廈(161巷),None,53
Taipei-city,仁愛路三段//建國南路一段,帝寶,None,181
Taipei-city,新生南路一段１６１巷５之３號,新月梧桐,None,None
Taipei-city,新生南路一段１４３之１號,永福大樓,None,None
Taipei-city,仁愛路三段２４巷１之１號,幸安華廈,None,None
Taipei-city,仁愛路三段２４巷１之８號,怡園,None,None
Taipei-city,東華街一段４９０號,璞園日兆,None,37
Taipei-city,新生南路一段１６１巷２８號,吉賢大樓(北市新生南路一段),None,None
Taipei-city,木新路三段４５巷１０弄１６號,畫堤,None,None
Taipei-city,木新路三段２３２巷４５弄１０號,人文藝邸,None,45
Taipei-city,木新路三段４５巷１０弄１２號,樂讀山水,None,None
Taipei-city,臨沂街６３巷５號,仁愛豐華,None,None
Taipei-city,興隆路四段１０９巷１３６號,青水艷-藝文特區,None,60
Taipei-city,建國北路二段//復興北路,時春詠園,None,49
Taipei-city,安和路一段//安和路,百利明廈,None,30
Taipei-city,安和路一段//安和路,德周仁愛名邸,None,47
Taipei-city,復興南路一段//仁愛路四段,芙蓉大廈,None,30
Taipei-city,敦化南路一段//仁愛路四段,敦仁大廈,None,None
Taipei-city,和平東路三段７６號,敦南馥裔,None,55
Taipei-city,立農街二段２０２巷１之１號,陽明頌,None,None
Taipei-city,民權東路六段１３３號,民權華府,None,82
Taipei-city,民權東路六段４２３巷１１號,金湖法登別墅,None,None
Taipei-city,向陽路１６２巷２８號,大智雲集,None,55
Taipei-city,金湖路３６０號,明湖經典,None,None
Taipei-city,金湖路３６３巷５１弄１８號,琥珀,None,None
Taipei-city,金湖路４０１巷１６號,煙波湖堡,None,None
Taipei-city,金湖路３４２號,湖月彎彎,None,None
Taipei-city,金湖路３６１號,凱達別墅,None,None
Taipei-city,金湖路３６３巷５１弄２６號,尊苑,None,None
Taipei-city,金湖路３６３巷６７弄２５號,麗景別墅,None,None
Taipei-city,金湖路３４７巷１８０弄２號,金湖皇家山莊,None,None
Taipei-city,民權東路六段１９１巷１５７號,遠揚馥園,None,75
Taipei-city,重慶北路三段１００號,三豐國璽,None,45
Taipei-city,金湖路３６３巷１２５號,金湖麗湖山莊,None,None
